,Bostezo,perCLOS,IndicadorE,IndBostezo,Clase,ClaseTabla
337,0.1,1.0,0,0.0,0,0
338,0.1,0.5927525423138977,1,0.5,1,1
339,0.1,1.0,0,0.0,0,0
340,0.1,1.0,0,0.0,0,0
341,0.1,0.7040360256505471,1,0.5,0,1
342,0.1,0.3732757596134684,1,0.5,1,1
343,0.1,0.9604896863257494,0,0.0,0,0
344,0.1,1.0,0,0.0,0,0
345,0.1,0.9435463393247977,0,0.0,0,0
346,0.1,0.8870926786495954,0,0.0,0,0
347,0.1,0.7741853572991907,1,0.5,0,1
348,0.1,0.9040360256505471,0,0.0,0,0
349,0.1,1.0,0,0.0,0,0
350,0.10280857763809118,1.0,0,0.0,0,0
351,0.1,1.0,0,0.0,0,0
352,0.10404235184171724,1.0,0,0.0,0,0
367,0.1,0.674778349564538,1,0.5,0,1
375,0.1,1.0,0,0.0,0,0
376,0.1,0.674778349564538,1,0.5,0,1
377,0.1,1.0,0,0.0,0,0
378,0.1,0.9435463393247977,0,0.0,0,0
379,0.1,1.0,0,0.0,0,0
391,0.11454152315272341,0.8055386156016165,0,0.0,0,0
392,0.10954867420612471,0.5885952686006649,1,0.5,1,1
397,0.1,0.8645257119762965,0,0.0,0,0
398,0.1,0.8645257119762965,0,0.0,0,0
399,0.1,0.7758091953129459,1,0.5,0,1
400,0.1,0.9604896863257494,0,0.0,0,0
401,0.1,0.766028301927366,1,0.5,0,1
402,0.1,0.9604896863257494,0,0.0,0,0
403,0.1,1.0,0,0.0,0,0
404,0.1,1.0,0,0.0,0,0
405,0.1,0.9604896863257494,0,0.0,0,0
406,0.1,0.9040360256505471,0,0.0,0,0
407,0.1,0.9209793726514988,0,0.0,0,0
419,0.1,1.0,0,0.0,0,0
420,0.1,0.6,1,0.5,1,1
421,0.1,0.4480541091780065,1,0.5,1,1
422,0.1,0.5239845525536381,1,0.5,1,1
423,0.1,1.0,0,0.0,0,0
424,0.1,1.0,0,0.0,0,0
425,0.1,0.9604896863257494,0,0.0,0,0
426,0.1,1.0,0,0.0,0,0
427,0.1,0.9435463393247977,0,0.0,0,0
428,0.1,1.0,0,0.0,0,0
429,0.1,1.0,0,0.0,0,0
430,0.1,0.6717731696623989,1,0.5,0,1
431,0.1,1.0,0,0.0,0,0
432,0.1,1.0,0,0.0,0,0
433,0.1,1.0,0,0.0,0,0
434,0.1,0.9209793726514988,0,0.0,0,0
435,0.1,1.0,0,0.0,0,0
436,0.1,1.0,0,0.0,0,0
437,0.1,1.0,0,0.0,0,0
438,0.1,1.0,0,0.0,0,0
439,0.1,1.0,0,0.0,0,0
440,0.1,1.0,0,0.0,0,0
441,0.1,0.9435463393247977,0,0.0,0,0
442,0.1,1.0,0,0.0,0,0
443,0.1,0.9604896863257494,0,0.0,0,0
444,0.1,0.4224819626025685,1,0.5,1,1
450,0.1,1.0,0,0.0,0,0
451,0.1,0.8870926786495954,0,0.0,0,0
452,0.1,0.7346750436249401,1,0.5,0,1
453,0.1,0.9435463393247977,0,0.0,0,0
454,0.1,0.7024121876367919,1,0.5,0,1
455,0.1,0.7532422286396471,1,0.5,0,1
456,0.1,1.0,0,0.0,0,0
457,0.1,0.9040360256505471,0,0.0,0,0
458,0.1,0.7337654459392178,1,0.5,0,1
459,0.1,0.8055386156016165,0,0.0,0,0
460,0.1,1.0,0,0.0,0,0
468,0.1,0.9604896863257494,0,0.0,0,0
469,0.1,0.6055386156016167,1,0.5,1,1
470,0.1,0.5435463393247977,1,0.5,1,1
471,0.1,1.0,0,0.0,0,0
482,0.1,0.9435463393247977,0,0.0,0,0
483,0.1,0.8645257119762965,0,0.0,0,0
484,0.1,0.6645257119762965,1,0.5,0,1
485,0.1,1.0,0,0.0,0,0
486,0.1,0.8024484316287472,0,0.0,0,0
487,0.1,0.8250153983020458,0,0.0,0,0
488,0.1,0.5024121876367917,1,0.5,1,1
489,0.1,0.7911287043001424,0,0.0,0,0
496,0.1,0.8475823649753448,0,0.0,0,0
497,0.1,0.8717731696623987,0,0.0,0,0
498,0.1,0.6967885679644448,1,0.5,0,1
499,0.1,0.9435463393247977,0,0.0,0,0
500,0.1,0.9435463393247977,0,0.0,0,0
501,0.1,0.6153195089871966,1,0.5,1,1
502,0.1,0.8645257119762965,0,0.0,0,0
507,0.1,1.0,0,0.0,0,0
508,0.1,1.0,0,0.0,0,0
509,0.1,0.7015025899510696,1,0.5,0,1
510,0.1,0.9604896863257494,0,0.0,0,0
511,0.1,1.0,0,0.0,0,0
512,0.1,0.9604896863257494,0,0.0,0,0
513,0.1,1.0,0,0.0,0,0
516,0.1,1.0,0,0.0,0,0
517,0.1,0.4153195089871965,1,0.5,1,1
518,0.1,0.8,0,0.0,0,0
519,0.1,1.0,0,0.0,0,0
520,0.10130662472685303,1.0,0,0.0,0,0
521,0.10208630521496931,0.5337654459392178,1,0.5,1,1
522,0.1,1.0,0,0.0,0,0
523,0.1,1.0,0,0.0,0,0
524,0.10208630521496931,0.9604896863257494,0,0.0,0,0
548,0.1,1.0,0,0.0,0,0
549,0.1,1.0,0,0.0,0,0
550,0.1,0.7732757596134684,1,0.5,0,1
551,0.1,0.7588658483119941,1,0.5,0,1
552,0.1,0.9604896863257494,0,0.0,0,0
553,0.1,1.0,0,0.0,0,0
554,0.1,1.0,0,0.0,0,0
555,0.1,1.0,0,0.0,0,0
556,0.1,1.0,0,0.0,0,0
557,0.1,0.9604896863257494,0,0.0,0,0
558,0.1,0.8475823649753448,0,0.0,0,0
559,0.1,1.0,0,0.0,0,0
560,0.1,0.9435463393247977,0,0.0,0,0
561,0.10208630521496931,0.8475823649753448,0,0.0,0,0
562,0.1,0.6055386156016167,1,0.5,1,1
563,0.1,0.8419587453029976,0,0.0,0,0
570,0.10208630521496931,1.0,0,0.0,0,0
571,0.10208630521496931,0.6,1,0.5,1,1
572,0.1,0.6675308918784357,1,0.5,0,1
573,0.1,0.8870926786495954,0,0.0,0,0
574,0.1,0.9040360256505471,0,0.0,0,0
575,0.1,1.0,0,0.0,0,0
576,0.10339292994182236,1.0,0,0.0,0,0
577,0.10130662472685303,1.0,0,0.0,0,0
583,0.1,0.6717731696623989,1,0.5,0,1
584,0.1,0.7490849549264144,1,0.5,0,1
585,0.1,0.7741853572991907,1,0.5,0,1
586,0.1,0.7911287043001425,0,0.0,0,0
587,0.1,0.8080720513010942,0,0.0,0,0
588,0.1,0.8475823649753448,0,0.0,0,0
589,0.1,0.9209793726514988,0,0.0,0,0
616,0.1,0.8322628559881483,0,0.0,0,0
617,0.1,0.8645257119762965,0,0.0,0,0
618,0.1,0.9435463393247977,0,0.0,0,0
619,0.1,0.7516183906258919,1,0.5,0,1
620,0.1,0.7346750436249401,1,0.5,0,1
621,0.1,0.7177316966239883,1,0.5,0,1
622,0.1,0.7911287043001425,0,0.0,0,0
623,0.1,0.7516183906258918,1,0.5,0,1
624,0.1,0.5927525423138977,1,0.5,1,1
625,0.1,0.8080720513010942,0,0.0,0,0
626,0.1,0.8419587453029977,0,0.0,0,0
627,0.1,0.7685617376268435,1,0.5,0,1
628,0.1,0.8645257119762965,0,0.0,0,0
629,0.1,0.7516183906258919,1,0.5,0,1
635,0.1,0.7911287043001424,0,0.0,0,0
636,0.1,0.8870926786495954,0,0.0,0,0
637,0.1,0.7685617376268435,1,0.5,0,1
638,0.1,1.0,0,0.0,0,0
639,0.1,0.7490849549264144,1,0.5,0,1
640,0.1,0.8814690589772483,0,0.0,0,0
641,0.1,1.0,0,0.0,0,0
642,0.1,1.0,0,0.0,0,0
643,0.1,0.47177316966239885,1,0.5,1,1
644,0.1,0.5634948662278886,1,0.5,1,1
645,0.1,1.0,0,0.0,0,0
646,0.1,1.0,0,0.0,0,0
647,0.1,1.0,0,0.0,0,0
648,0.1,1.0,0,0.0,0,0
649,0.1,1.0,0,0.0,0,0
650,0.1,1.0,0,0.0,0,0
651,0.1,0.723984552553638,1,0.5,0,1
652,0.1,0.9604896863257494,0,0.0,0,0
653,0.1,1.0,0,0.0,0,0
654,0.1,1.0,0,0.0,0,0
655,0.1,0.8322628559881483,0,0.0,0,0
667,0.1,1.0,0,0.0,0,0
668,0.1,0.8,0,0.0,0,0
669,0.1,0.8,0,0.0,0,0
670,0.1,1.0,0,0.0,0,0
671,0.1,0.6450489292758672,1,0.5,0,1
672,0.1,0.7490849549264144,1,0.5,0,1
673,0.1,0.7911287043001424,0,0.0,0,0
674,0.1,1.0,0,0.0,0,0
675,0.1,1.0,0,0.0,0,0
676,0.1,1.0,0,0.0,0,0
677,0.1,1.0,0,0.0,0,0
678,0.1,0.5604896863257494,1,0.5,1,1
679,0.1,1.0,0,0.0,0,0
680,0.16334544251777655,1.0,0,0.0,0,0
681,0.12789980012389646,0.6814690589772483,1,0.5,0,1
682,0.1,0.9209793726514988,0,0.0,0,0
683,0.1,0.6208581245888132,1,0.5,1,1
684,0.1,0.8870926786495954,0,0.0,0,0
685,0.1,0.8475823649753448,0,0.0,0,0
686,0.10480694691784169,0.7321416079254626,1,0.5,0,1
687,0.1,0.8475823649753448,0,0.0,0,0
688,0.1,1.0,0,0.0,0,0
689,0.1,0.14354633932479766,1,0.5,1,1
690,0.1,0.7758091953129459,1,0.5,0,1
691,0.1,1.0,0,0.0,0,0
692,0.1,0.9604896863257494,0,0.0,0,0
693,0.13058969454881306,0.650587544877484,1,0.5,1,1
694,0.1,0.8870926786495954,0,0.0,0,0
695,0.1,0.8080720513010942,0,0.0,0,0
696,0.1,0.679845220963493,1,0.5,0,1
697,0.1,0.7685617376268435,1,0.5,0,1
698,0.1,0.9435463393247977,0,0.0,0,0
699,0.1,0.661992276276819,1,0.5,0,1
710,0.1,0.9604896863257494,0,0.0,0,0
711,0.1,0.9604896863257494,0,0.0,0,0
712,0.1,0.9015025899510697,0,0.0,0,0
713,0.1,0.6459585269615895,1,0.5,0,1
714,0.1,0.8645257119762965,0,0.0,0,0
715,0.1,0.8080720513010942,0,0.0,0,0
716,0.1,0.8080720513010942,0,0.0,0,0
717,0.1,1.0,0,0.0,0,0
718,0.1,0.8619922762768191,0,0.0,0,0
719,0.1,1.0,0,0.0,0,0
720,0.1,1.0,0,0.0,0,0
721,0.1,1.0,0,0.0,0,0
722,0.1,0.8419587453029976,0,0.0,0,0
723,0.1,0.9604896863257494,0,0.0,0,0
724,0.1,1.0,0,0.0,0,0
725,0.1,1.0,0,0.0,0,0
726,0.1,0.47177316966239885,1,0.5,1,1
727,0.1,1.0,0,0.0,0,0
737,0.1,1.0,0,0.0,0,0
738,0.1,1.0,0,0.0,0,0
739,0.1,1.0,0,0.0,0,0
740,0.1,0.8619922762768191,0,0.0,0,0
741,0.1,0.9604896863257494,0,0.0,0,0
742,0.1,1.0,0,0.0,0,0
743,0.1,1.0,0,0.0,0,0
744,0.1,1.0,0,0.0,0,0
745,0.1,0.6055386156016167,1,0.5,1,1
746,0.1,0.9040360256505471,0,0.0,0,0
747,0.1,0.5588658483119942,1,0.5,1,1
748,0.1,0.7177316966239883,1,0.5,0,1
749,0.1,0.7855050846277953,1,0.5,0,1
750,0.1,0.7911287043001425,0,0.0,0,0
751,0.1,1.0,0,0.0,0,0
752,0.1,1.0,0,0.0,0,0
753,0.1,1.0,0,0.0,0,0
754,0.1,1.0,0,0.0,0,0
755,0.1,0.8475823649753448,0,0.0,0,0
756,0.1,0.8024484316287472,0,0.0,0,0
757,0.1,0.8250153983020458,0,0.0,0,0
761,0.1,0.6717731696623989,1,0.5,0,1
762,0.1,0.8250153983020461,0,0.0,0,0
763,0.1,1.0,0,0.0,0,0
764,0.1,0.9209793726514988,0,0.0,0,0
765,0.1,1.0,0,0.0,0,0
766,0.1,1.0,0,0.0,0,0
767,0.1,1.0,0,0.0,0,0
768,0.1,0.4900978585517345,1,0.5,1,1
769,0.1,0.8080720513010942,0,0.0,0,0
770,0.1,0.9209793726514988,0,0.0,0,0
771,0.1,0.5927525423138976,1,0.5,1,1
775,0.1,0.9604896863257494,0,0.0,0,0
776,0.1,0.766028301927366,1,0.5,0,1
777,0.1,1.0,0,0.0,0,0
778,0.1,0.8419587453029976,0,0.0,0,0
779,0.1,1.0,0,0.0,0,0
780,0.1,0.9604896863257494,0,0.0,0,0
792,0.1,0.9040360256505471,0,0.0,0,0
793,0.1,1.0,0,0.0,0,0
794,0.1,0.9209793726514988,0,0.0,0,0
795,0.1,0.8645257119762965,0,0.0,0,0
796,0.1,0.8419587453029977,0,0.0,0,0
797,0.1,1.0,0,0.0,0,0
798,0.1,0.9604896863257494,0,0.0,0,0
799,0.1,1.0,0,0.0,0,0
800,0.1,1.0,0,0.0,0,0
801,0.1,0.7435463393247976,1,0.5,0,1
812,0.1,0.7362988816386953,1,0.5,0,1
813,0.1,1.0,0,0.0,0,0
814,0.1,1.0,0,0.0,0,0
815,0.1,0.9040360256505471,0,0.0,0,0
816,0.1,0.9604896863257494,0,0.0,0,0
817,0.1,0.8717731696623987,0,0.0,0,0
818,0.1,0.7532422286396471,1,0.5,0,1
819,0.1,0.9604896863257494,0,0.0,0,0
820,0.1,1.0,0,0.0,0,0
821,0.1,0.9604896863257494,0,0.0,0,0
822,0.1,1.0,0,0.0,0,0
823,0.1,1.0,0,0.0,0,0
824,0.1,1.0,0,0.0,0,0
825,0.1,0.9604896863257494,0,0.0,0,0
826,0.1,0.8024484316287472,0,0.0,0,0
827,0.1,0.9604896863257494,0,0.0,0,0
828,0.1,1.0,0,0.0,0,0
829,0.1,1.0,0,0.0,0,0
830,0.1,0.9435463393247977,0,0.0,0,0
831,0.1,1.0,0,0.0,0,0
838,0.1,0.7855050846277953,1,0.5,0,1
839,0.1,0.8814690589772483,0,0.0,0,0
840,0.1,0.8814690589772483,0,0.0,0,0
841,0.1,1.0,0,0.0,0,0
842,0.1,1.0,0,0.0,0,0
843,0.1,0.8419587453029976,0,0.0,0,0
844,0.1,0.9604896863257494,0,0.0,0,0
845,0.1,0.2870926786495953,1,0.5,1,1
846,0.1,0.7321416079254626,1,0.5,0,1
847,0.1,0.7177316966239883,1,0.5,0,1
848,0.1,0.8419587453029976,0,0.0,0,0
849,0.1,1.0,0,0.0,0,0
850,0.1,0.8814690589772483,0,0.0,0,0
851,0.1,0.9209793726514988,0,0.0,0,0
852,0.1,1.0,0,0.0,0,0
853,0.1,1.0,0,0.0,0,0
854,0.1,1.0,0,0.0,0,0
855,0.1,0.9604896863257494,0,0.0,0,0
856,0.1,0.8224819626025685,0,0.0,0,0
857,0.1,0.6419587453029977,1,0.5,1,1
858,0.1,0.9209793726514988,0,0.0,0,0
859,0.1,1.0,0,0.0,0,0
860,0.1,1.0,0,0.0,0,0
861,0.1,1.0,0,0.0,0,0
862,0.1,0.8814690589772483,0,0.0,0,0
863,0.1,1.0,0,0.0,0,0
864,0.1,1.0,0,0.0,0,0
865,0.1,0.9604896863257494,0,0.0,0,0
866,0.1,0.9604896863257494,0,0.0,0,0
867,0.1,1.0,0,0.0,0,0
868,0.1,1.0,0,0.0,0,0
869,0.1,1.0,0,0.0,0,0
870,0.1,0.9604896863257494,0,0.0,0,0
871,0.1,0.8224819626025685,0,0.0,0,0
872,0.1,0.8419587453029976,0,0.0,0,0
873,0.10400000000000001,0.9209793726514988,0,0.0,0,0
874,0.1,1.0,0,0.0,0,0
875,0.1,0.8024484316287472,0,0.0,0,0
876,0.1,0.6942551322649673,1,0.5,0,1
877,0.1,0.9604896863257494,0,0.0,0,0
901,0.1,0.8450489292758672,0,0.0,0,0
902,0.1,1.0,0,0.0,0,0
903,0.1,1.0,0,0.0,0,0
904,0.1,1.0,0,0.0,0,0
905,0.1,1.0,0,0.0,0,0
906,0.1,1.0,0,0.0,0,0
907,0.1,0.9435463393247977,0,0.0,0,0
908,0.1,0.9604896863257494,0,0.0,0,0
909,0.1,1.0,0,0.0,0,0
910,0.1,0.9604896863257494,0,0.0,0,0
911,0.1,0.9209793726514988,0,0.0,0,0
912,0.1,1.0,0,0.0,0,0
913,0.1,1.0,0,0.0,0,0
914,0.1,1.0,0,0.0,0,0
915,0.1,1.0,0,0.0,0,0
916,0.1,0.6459585269615895,1,0.5,0,1
917,0.1,0.9604896863257494,0,0.0,0,0
918,0.1,1.0,0,0.0,0,0
919,0.1,0.830639017974393,0,0.0,0,0
920,0.1,0.7741853572991906,1,0.5,0,1
921,0.1,0.7346750436249401,1,0.5,0,1
922,0.1,0.8024484316287472,0,0.0,0,0
923,0.1,0.7346750436249401,1,0.5,0,1
924,0.1,0.7911287043001425,0,0.0,0,0
925,0.1,0.830639017974393,0,0.0,0,0
926,0.1,0.9209793726514988,0,0.0,0,0
927,0.1,0.9435463393247977,0,0.0,0,0
928,0.1,1.0,0,0.0,0,0
929,0.1,1.0,0,0.0,0,0
930,0.1,1.0,0,0.0,0,0
931,0.1,0.8717731696623987,0,0.0,0,0
932,0.1,0.7732757596134684,1,0.5,0,1
933,0.1,1.0,0,0.0,0,0
934,0.1,0.6717731696623989,1,0.5,0,1
935,0.1,0.7435463393247976,1,0.5,0,1
936,0.1,0.5193555346377436,1,0.5,1,1
937,0.1,0.6475823649753447,1,0.5,0,1
947,0.1,0.6603684382630638,1,0.5,0,1
948,0.1,0.830639017974393,0,0.0,0,0
949,0.1,1.0,0,0.0,0,0
950,0.1,0.9435463393247977,0,0.0,0,0
951,0.1,1.0,0,0.0,0,0
952,0.1,0.7732757596134684,1,0.5,0,1
953,0.1,0.9040360256505471,0,0.0,0,0
954,0.1,1.0,0,0.0,0,0
955,0.1,0.8645257119762965,0,0.0,0,0
956,0.1,1.0,0,0.0,0,0
957,0.1,0.8224819626025685,0,0.0,0,0
958,0.1,0.8306390179743929,0,0.0,0,0
959,0.1,0.7741853572991907,1,0.5,0,1
960,0.1,0.9435463393247977,0,0.0,0,0
961,0.1,1.0,0,0.0,0,0
962,0.1,0.9040360256505471,0,0.0,0,0
973,0.1,0.4645257119762965,1,0.5,1,1
974,0.1,0.8250153983020458,0,0.0,0,0
975,0.1,0.9435463393247977,0,0.0,0,0
976,0.1,0.7177316966239883,1,0.5,0,1
977,0.1,0.8080720513010942,0,0.0,0,0
978,0.1,0.7516183906258919,1,0.5,0,1
979,0.1,0.7516183906258919,1,0.5,0,1
980,0.1,0.7346750436249401,1,0.5,0,1
981,0.1,0.7346750436249401,1,0.5,0,1
982,0.1,0.7516183906258918,1,0.5,0,1
983,0.1,0.7516183906258919,1,0.5,0,1
984,0.1,0.8814690589772483,0,0.0,0,0
985,0.1,0.9604896863257494,0,0.0,0,0
986,0.1,1.0,0,0.0,0,0
987,0.1,0.8814690589772483,0,0.0,0,0
