,Bostezo,perCLOS,IndicadorE,IndBostezo,Clase,ClaseTabla
33,0.1,0.9943645659024931,0,0.0,0,0
34,0.1,0.9930183675337659,0,0.0,0,0
35,0.1,0.9943645659024931,0,0.0,0,0
36,0.1,0.9877481193516353,0,0.0,0,0
37,0.1,0.9910563426270642,0,0.0,0,0
38,0.1,0.9398713245060708,0,0.0,0,0
39,0.1,0.7742951633465429,1,0.5,0,1
66,0.1,1.0,0,0.0,0,0
67,0.1,0.7805907113293088,1,0.5,0,1
89,0.1,0.5960628891405853,1,0.5,1,1
90,0.1,0.812423899544265,0,0.0,0,0
95,0.1,0.5872181934120363,1,0.5,1,1
96,0.1,0.7311757646213156,1,0.5,0,1
97,0.1,0.7131569221936733,1,0.5,0,1
98,0.1,0.8404657274272314,0,0.0,0,0
99,0.1,0.7709448920697445,1,0.5,0,1
100,0.1,0.7330043821432051,1,0.5,0,1
101,0.1,0.12616230618740043,1,0.5,1,1
102,0.1067327094135159,0.5326956680693996,1,0.5,1,1
103,0.3147469198073549,0.5601464274204764,1,0.5,1,1
104,0.3881865824169073,0.23553519380215188,1,0.5,1,1
105,0.4271765355191488,0.6955239232060315,1,0.5,0,1
106,0.35194127733205766,0.7500511556845161,1,0.5,0,1
107,0.37441568782424356,0.7983439696366318,0,0.0,0,0
108,0.3348099130062482,0.48131946382736973,1,0.5,1,1
109,0.30199490461776635,0.7007648387669774,1,0.5,0,1
114,0.13913425936685037,0.9524712046979292,0,0.0,0,0
115,0.10434304599486628,0.9090581366749385,0,0.0,0,0
116,0.1,0.9287005034261503,0,0.0,0,0
117,0.1,0.5894675439937294,1,0.5,1,1
118,0.1,0.8504293285073203,0,0.0,0,0
119,0.1,0.9492423258828708,0,0.0,0,0
120,0.1,0.973714375776685,0,0.0,0,0
121,0.1,0.9930183675337659,0,0.0,0,0
122,0.1,0.5085918428205758,1,0.5,1,1
123,0.1,0.8099747821187224,0,0.0,0,0
130,0.1,1.0,0,0.0,0,0
131,0.1,1.0,0,0.0,0,0
132,0.1,1.0,0,0.0,0,0
133,0.1,0.7329670891868367,1,0.5,0,1
140,0.1,1.0,0,0.0,0,0
141,0.1,1.0,0,0.0,0,0
142,0.1,1.0,0,0.0,0,0
143,0.1,0.9418364572885111,0,0.0,0,0
144,0.1,0.7017432213326777,1,0.5,0,1
145,0.10729845196072581,0.9933835534491422,0,0.0,0,0
146,0.1,0.9832899801670525,0,0.0,0,0
147,0.1219175972273554,0.36021650503531794,1,0.5,1,1
148,0.18562263321446368,0.7772962083816793,1,0.5,0,1
149,0.1,0.9364754362162773,0,0.0,0,0
152,0.1,0.997672789177922,0,0.0,0,0
153,0.1,1.0,0,0.0,0,0
