,Bostezo,perCLOS,IndicadorE,IndBostezo
0,0.1,1.0,0,0.0
1,0.1,1.0,0,0.0
2,0.1,1.0,0,0.0
3,0.1,1.0,0,0.0
4,0.1,1.0,0,0.0
5,0.1,1.0,0,0.0
6,0.1,1.0,0,0.0
7,0.1,1.0,0,0.0
8,0.1,1.0,0,0.0
9,0.1,1.0,0,0.0
10,0.1,1.0,0,0.0
11,0.1,1.0,0,0.0
12,0.1,0.992037355080415,0,0.0
13,0.1,1.0,0,0.0
14,0.1,1.0,0,0.0
15,0.1,1.0,0,0.0
16,0.1,1.0,0,0.0
17,0.1,1.0,0,0.0
18,0.1,0.997672789177922,0,0.0
19,0.1,1.0,0,0.0
20,0.1,0.997672789177922,0,0.0
21,0.1,0.992037355080415,0,0.0
22,0.1,1.0,0,0.0
23,0.1,1.0,0,0.0
24,0.1,1.0,0,0.0
25,0.1,0.997672789177922,0,0.0
26,0.1,0.9873829334362589,0,0.0
27,0.1,0.9966917767245711,0,0.0
28,0.1,0.9953455783558439,0,0.0
29,0.1,0.9953455783558439,0,0.0
30,0.1,0.992037355080415,0,0.0
31,0.1,0.9933835534491422,0,0.0
32,0.1,0.9966917767245711,0,0.0
33,0.1,0.9943645659024931,0,0.0
34,0.1,0.9930183675337659,0,0.0
35,0.1,0.9943645659024931,0,0.0
36,0.1,0.9877481193516353,0,0.0
37,0.1,0.9910563426270642,0,0.0
38,0.1,0.9398713245060708,0,0.0
39,0.1,0.7742951633465429,1,0.5
40,0.1,0.9112791921154006,0,0.0
41,0.1,0.992037355080415,0,0.0
42,0.1,0.9933835534491422,0,0.0
43,0.1,0.9933835534491422,0,0.0
44,0.1,1.0,0,0.0
45,0.1,0.9943645659024931,0,0.0
46,0.1,0.9943645659024931,0,0.0
47,0.1,0.9352136963369073,0,0.0
48,0.1,0.9517043023713813,0,0.0
49,0.1,0.9844398960762064,0,0.0
50,0.1,0.9966917767245711,0,0.0
51,0.1,0.9966917767245711,0,0.0
52,0.1,1.0,0,0.0
53,0.1,0.997672789177922,0,0.0
54,0.1,1.0,0,0.0
55,0.1,0.997672789177922,0,0.0
56,0.1,0.9966917767245711,0,0.0
57,0.1,1.0,0,0.0
58,0.1,0.9910563426270642,0,0.0
59,0.1,0.9900753301737131,0,0.0
60,0.1,1.0,0,0.0
61,0.1,1.0,0,0.0
62,0.1,1.0,0,0.0
63,0.1,1.0,0,0.0
64,0.1,1.0,0,0.0
65,0.1,0.997672789177922,0,0.0
66,0.1,1.0,0,0.0
67,0.1,0.7805907113293088,1,0.5
68,0.1,0.9679390614320923,0,0.0
69,0.1,0.9910563426270642,0,0.0
70,0.1,0.9943645659024931,0,0.0
71,0.1,0.9953455783558439,0,0.0
72,0.1,1.0,0,0.0
73,0.1,1.0,0,0.0
74,0.1,0.9505885242515978,0,0.0
75,0.1,0.9079419456312546,0,0.0
76,0.1,0.9680789416791781,0,0.0
77,0.1,0.9887291318049861,0,0.0
78,0.1,1.0,0,0.0
79,0.1,0.997672789177922,0,0.0
80,0.1,1.0,0,0.0
81,0.1,0.9966917767245711,0,0.0
82,0.1,1.0,0,0.0
83,0.1,0.9966917767245711,0,0.0
84,0.1,0.9933835534491422,0,0.0
85,0.1,1.0,0,0.0
86,0.1,0.9910563426270642,0,0.0
87,0.1,0.9900753301737133,0,0.0
88,0.1,0.9343760204317709,0,0.0
89,0.1,0.5960628891405853,1,0.5
90,0.1,0.812423899544265,0,0.0
91,0.1,0.8713759705560566,0,0.0
92,0.1,0.9461909208537305,0,0.0
93,0.1,0.9910563426270642,0,0.0
94,0.1,0.9910563426270642,0,0.0
95,0.1,0.5872181934120363,1,0.5
96,0.1,0.7311757646213156,1,0.5
97,0.1,0.7131569221936733,1,0.5
98,0.1,0.8404657274272314,0,0.0
99,0.1,0.7709448920697445,1,0.5
100,0.1,0.7330043821432051,1,0.5
101,0.1,0.12616230618740043,1,0.5
102,0.1067327094135159,0.5326956680693996,1,0.5
103,0.3147469198073549,0.5601464274204764,1,0.5
104,0.3881865824169073,0.23553519380215188,1,0.5
105,0.4271765355191488,0.6955239232060315,1,0.5
106,0.35194127733205766,0.7500511556845161,1,0.5
107,0.37441568782424356,0.7983439696366318,0,0.0
108,0.3348099130062482,0.48131946382736973,1,0.5
109,0.30199490461776635,0.7007648387669774,1,0.5
110,0.27218630117925724,0.8719408367704864,0,0.0
111,0.10570866743162208,0.9266301108503608,0,0.0
112,0.1,0.8687119579554279,0,0.0
113,0.14232991271181286,0.9364754362162773,0,0.0
114,0.13913425936685037,0.9524712046979292,0,0.0
115,0.10434304599486628,0.9090581366749385,0,0.0
116,0.1,0.9287005034261503,0,0.0
117,0.1,0.5894675439937294,1,0.5
118,0.1,0.8504293285073203,0,0.0
119,0.1,0.9492423258828708,0,0.0
